session_name,ID,trial_round,time_end,total_distance,mean_velocity,incorrect_entries,time_to_decision_zone_1,time_to_correct_zone_1,time_to_incorrect_zone_1,time_to_decision_zone_2,time_to_incorrect_zone_2,time_to_correct_zone_2,group,tank,frame_rate,pixels_per_cm,cam,batch,day,link,orientation,jar_ID,treatment,sex,Notes,std_length,unique_id,tanks3&4_release,tanks1&2_release,start,wrong_start,missing_fish
cam1-b2-d1-t2_edit_tank1,cam1-b2-d1 1,2,33.48,46.24059271406942,1.3811407620689793,0,26.919999999999998,28.82,NA,30.78,NA,35.32,cam1-b2-d1,1,50,17.0290144190932,1,2,1,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d1-t2,2805,2928,3020,NA,NA
cam1-b2-d1-t2_edit_tank2,cam1-b2-d1 2,2,287.38,312.4094553603469,1.0870953279989801,16,14.54,20.68,217.04,22.58,25.54,289.21999999999997,cam1-b2-d1,2,50,17.0290144190932,1,2,1,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d1-t2,2805,2928,3020,NA,NA
cam1-b2-d1-t2_edit_tank3,cam1-b2-d1 3,2,82.18,136.35343602256594,1.6592046242706977,2,56.120000000000005,11.219999999999999,22.02,75.39999999999999,NA,86.48,cam1-b2-d1,3,50,17.0290144190932,1,2,1,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d1-t2,2805,2928,3020,NA,NA
cam1-b2-d1-t2_edit_tank4,cam1-b2-d1 4,2,166.9,285.38650012384227,1.7099251055952203,12,56.86,6.76,45.419999999999995,8.18,10.559999999999999,171.20000000000002,cam1-b2-d1,4,50,17.0290144190932,1,2,1,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d1-t2,2805,2928,3020,NA,NA
cam1-b2-d1-t3_edit_tank1,cam1-b2-d1 1,3,113.18,241.63822438136623,2.134990496389523,2,5.46,7.66,NA,23.619999999999997,28.119999999999997,114.76,cam1-b2-d1,1,50,17.0290144190932,1,2,1,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d1-t3,3041,3176,3255,NA,NA
cam1-b2-d1-t3_edit_tank2,cam1-b2-d1 2,3,131.98,153.62235952597857,1.163982114911188,3,9.219999999999999,117.02,13.12,122.7,NA,133.56,cam1-b2-d1,2,50,17.0290144190932,1,2,1,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d1-t3,3041,3176,3255,NA,NA
cam1-b2-d1-t3_edit_tank3,cam1-b2-d1 3,3,43.48,89.78096158365109,2.0648795212431255,1,63.68,4.3,14.54,36.26,NA,47.76,cam1-b2-d1,3,50,17.0290144190932,1,2,1,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d1-t3,3041,3176,3255,NA,NA
cam1-b2-d1-t3_edit_tank4,cam1-b2-d1 4,3,48.58,97.61716476045787,2.0094105549703145,2,67.46,13.16,NA,15.100000000000001,17.94,52.86,cam1-b2-d1,4,50,17.0290144190932,1,2,1,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d1-t3,3041,3176,3255,NA,NA
cam1-b2-d2-t1_edit_tank1,cam1-b2-d2 1,1,119.02,204.3328932234787,1.7167945994242875,3,2.44,113.26,5.84,116.88,NA,121.44,cam1-b2-d2,1,50,17.0290144190932,1,2,2,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d2-t1,2538,2647,2768,NA,NA
cam1-b2-d2-t1_edit_tank2,cam1-b2-d2 2,1,125.76,195.3942808038319,1.5537077035928109,2,4.82,7.4,33.24,9.1,102.52,128.18,cam1-b2-d2,2,50,17.0290144190932,1,2,2,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d2-t1,2538,2647,2768,NA,NA
